"plot_ID","LT_FSI_DBH_RMS_BZE3","LT_FSI_DBH_SD_BZE3","LT_FSI_H_SD_BZE3","LT_FSI_n_SP_BZE3","LT_FSI_bark_TY_BZE3","LT_FSI_V40_BZE3","LT_FSI_fruit_TY_BZE3","DW_FSI_n_dec_BZE3","DW_FSI_LY_mean_D_cm_BZE3","DW_FSI_ST_mean_D_cm_BZE3","RG_FSI_n_SP_BZE3","FSI_sum_BZE3","FSI_total_BZE3","LT_FSI_DBH_RMS_HBI","LT_FSI_DBH_SD_HBI","LT_FSI_H_SD_HBI","LT_FSI_n_SP_HBI","LT_FSI_bark_TY_HBI","LT_FSI_V40_HBI","LT_FSI_fruit_TY_HBI","DW_FSI_n_dec_HBI","DW_FSI_LY_mean_D_cm_HBI","DW_FSI_ST_mean_D_cm_HBI","RG_FSI_n_SP_HBI","FSI_sum_HBI","FSI_total_HBI","LT_FSI_DBH_RMS_diff","LT_FSI_DBH_SD_diff","LT_FSI_H_SD_diff","LT_FSI_n_SP_diff","LT_FSI_bark_TY_diff","LT_FSI_V40_diff","LT_FSI_fruit_TY_diff","DW_FSI_n_dec_diff","DW_FSI_LY_mean_D_cm_diff","DW_FSI_ST_mean_D_cm_diff","RG_FSI_n_SP_diff","FSI_sum_diff","FSI_total_diff","stand_component"
140037,0.779511080709698,0.479807272346412,0.220661668062414,0.111111111111111,0.333333333333333,0.295129703037676,0.2,0.75,0.480873014152886,0,0.428571428571429,3.65042718275353,0.331857016613957,0.779511080709698,0.479807272346412,0.220661668062414,0.111111111111111,0.333333333333333,0.295129703037676,0.2,0.75,0.480873014152886,0,0.428571428571429,3.65042718275353,0.331857016613957,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140038,0.907077301080702,0.364563221569217,0.165368846478004,0.111111111111111,0.222222222222222,0.716309019088865,0.2,0.75,0.364131573433899,0,0.571428571428571,3.80078329498402,0.345525754089456,0.907077301080702,0.364563221569217,0.165368846478004,0.111111111111111,0.222222222222222,0.716309019088865,0.2,0.75,0.364131573433899,0,0.571428571428571,3.80078329498402,0.345525754089456,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140039,0.775805857926463,0.880516678251748,0.983539132892167,0.111111111111111,0.333333333333333,0.282400347629776,0.4,0.75,0.528632340700223,0,0.571428571428571,5.04533880184482,0.458667163804075,0.775805857926463,0.880516678251748,0.983539132892167,0.111111111111111,0.333333333333333,0.282400347629776,0.4,0.75,0.528632340700223,0,0.571428571428571,5.04533880184482,0.458667163804075,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140040,1,0.527477770719406,0.231141426088311,0.111111111111111,0.222222222222222,1,0.2,0.25,0.765466463140882,0,0.571428571428571,4.30741899328193,0.391583544843812,1,0.527477770719406,0.231141426088311,0.111111111111111,0.222222222222222,1,0.2,0.25,0.765466463140882,0,0.571428571428571,4.30741899328193,0.391583544843812,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140041,0.781396824372693,0.99127088573957,1,0.333333333333333,0.555555555555556,0.412859457137759,0.6,0.5,0.433915776241358,0.428571428571429,0.428571428571429,6.0369032609517,0.548809387359245,0.781396824372693,0.99127088573957,1,0.333333333333333,0.555555555555556,0.412859457137759,0.6,0.5,0.433915776241358,0.428571428571429,0.428571428571429,6.0369032609517,0.548809387359245,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140042,0.916207833158152,0.514731472849476,0.280987681972075,0.111111111111111,0.222222222222222,0.949159408379585,0.2,0.5,0.557348796658624,0,0.285714285714286,4.25176852635125,0.386524411486477,0.916207833158152,0.514731472849476,0.280987681972075,0.111111111111111,0.222222222222222,0.949159408379585,0.2,0.5,0.557348796658624,0,0.285714285714286,4.25176852635125,0.386524411486477,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140043,0.842346460416374,0.71528914667232,0.682990360743834,0.444444444444444,0.777777777777778,0.866405012864422,0.8,0.75,0.355799448822705,0.428571428571429,0.285714285714286,6.66362408031331,0.60578400730121,0.842346460416374,0.71528914667232,0.682990360743834,0.444444444444444,0.777777777777778,0.866405012864422,0.8,0.75,0.355799448822705,0.428571428571429,0.285714285714286,6.66362408031331,0.60578400730121,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140044,0.796427308976723,0.479547727216835,0.322962166195106,0.111111111111111,0.222222222222222,0.575853295793324,0.2,1,0.460039646086158,0.510204081632653,0.285714285714286,4.67836755923413,0.425306141748557,0.796427308976723,0.479547727216835,0.322962166195106,0.111111111111111,0.222222222222222,0.575853295793324,0.2,1,0.460039646086158,0.510204081632653,0.285714285714286,4.67836755923413,0.425306141748557,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140045,0.860985588214131,0.260031207137295,0.140458705756826,0.111111111111111,0.222222222222222,0.574797646022539,0.2,0.75,0.413297017948181,0.285714285714286,0.428571428571429,3.81861778412659,0.347147071284235,0.860985588214131,0.260031207137295,0.140458705756826,0.111111111111111,0.222222222222222,0.574797646022539,0.2,0.75,0.413297017948181,0.285714285714286,0.428571428571429,3.81861778412659,0.347147071284235,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
140046,0,0,0,0,0,0,0,0.5,0.436496962078358,0,0.428571428571429,0.936496962078358,0.0851360874616689,0,0,0,0,0,0,0,0.5,0.436496962078358,0,0.428571428571429,0.936496962078358,0.0851360874616689,0,0,0,0,0,0,0,0,0,0,0,0,0,"all"
