"plot_ID","LT_RMS_DBH","LT_FSI_DBH_RMS","LT_sd_DBH_cm","LT_FSI_DBH_SD","LT_sd_H_m","LT_FSI_H_SD","LT_n_SP","LT_FSI_n_SP","inv","LT_n_bark_TY","LT_FSI_bark_TY","LT_Vm340_plot","LT_FSI_V40","LT_n_fruit_TY","LT_FSI_fruit_TY","DW_n_dec","DW_FSI_n_dec","DW_LY_mean_D_cm","DW_FSI_LY_mean_D_cm","DW_ST_mean_D_cm","DW_FSI_ST_mean_D_cm","RG_n_SP","RG_FSI_n_SP","FSI_sum","FSI_total"
140037,38.9372229950273,0.779511080709698,8.71602489308031,0.479807272346412,2.19307430291483,0.220661668062414,1,0.111111111111111,"BZE3",3,0.3,18.0706667777327,0.295129703037676,1,0.2,4,0.75,27.1379310344828,0.480873014152886,0,0,3,0.428571428571429,3.6170938494202,0.328826713583654
140038,45.309261176571,0.907077301080702,6.622538459577,0.364563221569217,1.64353950053073,0.165368846478004,1,0.111111111111111,"BZE3",2,0.2,43.8592979988429,0.716309019088865,1,0.2,4,0.75,22.9166666666667,0.364131573433899,0,0,4,0.571428571428571,3.7785610727618,0.343505552069254
140039,38.7521440534608,0.775805857926463,15.9951833345154,0.880516678251748,9.77502987807943,0.983539132892167,1,0.111111111111111,"BZE3",3,0.3,17.2912537349115,0.282400347629776,2,0.4,4,0.75,28.8648648648649,0.528632340700223,0,0,4,0.571428571428571,5.01200546851149,0.455636860773772
140040,49.9508268177243,1,9.58199186446998,0.527477770719406,2.29722872279739,0.231141426088311,1,0.111111111111111,"BZE3",2,0.2,61.2295766631995,1,1,0.2,2,0.25,37.4285714285714,0.765466463140882,0,0,4,0.571428571428571,4.28519677105971,0.38956334282361
140041,39.0314174501602,0.781396824372693,18.0071087160471,0.99127088573957,9.93862831805711,1,3,0.333333333333333,"BZE3",5,0.5,25.2792097819433,0.412859457137759,3,0.6,3,0.5,25.44,0.433915776241358,21,0.428571428571429,3,0.428571428571429,5.98134770539614,0.54375888230874
140042,45.7653388031254,0.916207833158152,9.35044670887943,0.514731472849476,2.79263213307289,0.280987681972075,1,0.111111111111111,"BZE3",2,0.2,58.1166287609749,0.949159408379585,1,0.2,3,0.5,29.9032258064516,0.557348796658624,0,0,2,0.285714285714286,4.22954630412902,0.384504209466275
140043,42.0759021647814,0.842346460416374,12.9937130332717,0.71528914667232,6.78798734024871,0.682990360743834,4,0.444444444444444,"BZE3",7,0.7,53.0496121565625,0.866405012864422,4,0.8,4,0.75,22.6153846153846,0.355799448822705,21,0.428571428571429,2,0.285714285714286,6.58584630253553,0.598713300230503
140044,39.7822025836025,0.796427308976723,8.71131007956944,0.479547727216835,3.20980093060775,0.322962166195106,1,0.111111111111111,"BZE3",2,0.2,35.2592535215334,0.575853295793324,1,0.2,5,1,26.3846153846154,0.460039646086158,25,0.510204081632653,2,0.285714285714286,4.65614533701191,0.423285939728355
140045,43.0069420094406,0.860985588214131,4.72364343979776,0.260031207137295,1.39596687055244,0.140458705756826,1,0.111111111111111,"BZE3",2,0.2,35.1946165329636,0.574797646022539,1,0.2,4,0.75,24.6944444444444,0.413297017948181,14,0.285714285714286,3,0.428571428571429,3.79639556190437,0.345126869264033
140047,28.7165343233447,0.574896075857447,12.2501322211357,0.674355867383117,7.21511875151199,0.72596725831905,1,0.111111111111111,"BZE3",3,0.3,26.1361004946519,0.426854176020464,2,0.4,5,1,24,0.394091766184789,36.3333333333333,0.741496598639456,1,0.142857142857143,5.34877285351544,0.486252077592312
140048,19.5381644758302,0.391147969324451,6.67793804517762,0.367612905844127,3.62376964178884,0.364614665708441,4,0.444444444444444,"BZE3",6,0.6,6.77621586859806,0.11066899753156,2,0.4,5,1,42.8214285714286,0.914608961120589,0,0,3,0.428571428571429,4.59309794397361,0.417554358543056
140049,33.101705726624,0.66268584196645,6.91842627833449,0.380851509978222,3.0078108693612,0.302638429882364,1,0.111111111111111,"BZE3",3,0.3,5.221356506253,0.0852750711469669,1,0.2,5,1,24.9393939393939,0.420071234024722,18,0.36734693877551,0,0,3.82998013688535,0.348180012444122
140050,29.3130791527994,0.586838717600528,9.09636509947745,0.500744568789881,6.09737890079104,0.613503061555582,2,0.222222222222222,"BZE3",3,0.3,0,0,2,0.4,3,0.5,18.1176470588235,0.231411986541946,0,0,5,0.714285714285714,3.35472055671016,0.30497459606456
140051,42.7546059077295,0.855933898026261,6.52259636439106,0.359061522724619,2.1163147701161,0.212938315267415,1,0.111111111111111,"BZE3",2,0.2,37.5280154270851,0.612906661653279,1,0.2,5,1,18.6,0.244751728472659,36,0.73469387755102,5,0.714285714285714,4.53139711480636,0.411945192255124
140052,37.6885945906963,0.754513928832966,8.16831700847092,0.449656575282009,2.8738781543844,0.289162454054446,2,0.222222222222222,"BZE3",3,0.3,21.9712385533462,0.358833749156908,1,0.2,5,1,22.7586206896552,0.359760723032575,0,0,2,0.285714285714286,3.93414965258113,0.357649968416466
